region,keyword,interest_score
Gabon,ev charging,0
Gambia,ev charging,0
Georgia,ev charging,1
Germany,ev charging,0
Ghana,ev charging,1
Gibraltar,ev charging,10
Greece,ev charging,1
Greenland,ev charging,0
Grenada,ev charging,0
Guadeloupe,ev charging,0
Guam,ev charging,0
Guatemala,ev charging,0
Guernsey,ev charging,0
Guinea,ev charging,0
Guinea-Bissau,ev charging,0
Guyana,ev charging,0
Haiti,ev charging,0
Heard & McDonald Islands,ev charging,0
Honduras,ev charging,0
Hong Kong,ev charging,2
Hungary,ev charging,0
Iceland,ev charging,1
India,ev charging,10
Indonesia,ev charging,2
Iran,ev charging,1
Iraq,ev charging,2
Ireland,ev charging,7
Isle of Man,ev charging,5
Israel,ev charging,1
Italy,ev charging,0
Jamaica,ev charging,2
Japan,ev charging,2
Jersey,ev charging,9
Jordan,ev charging,2
Kazakhstan,ev charging,1
Kenya,ev charging,2
Kiribati,ev charging,0
Kosovo,ev charging,0
Kuwait,ev charging,2
Kyrgyzstan,ev charging,0
Laos,ev charging,7
Latvia,ev charging,1
Lebanon,ev charging,2
Lesotho,ev charging,0
Liberia,ev charging,0
Libya,ev charging,0
Liechtenstein,ev charging,0
Lithuania,ev charging,1
Luxembourg,ev charging,1
Macao,ev charging,1
Madagascar,ev charging,0
Malawi,ev charging,0
Malaysia,ev charging,5
Maldives,ev charging,0
Mali,ev charging,0
Malta,ev charging,4
Marshall Islands,ev charging,0
Martinique,ev charging,0
Mauritania,ev charging,0
Mauritius,ev charging,4
Mayotte,ev charging,0
Mexico,ev charging,0
Micronesia,ev charging,0
Moldova,ev charging,1
Monaco,ev charging,0
Mongolia,ev charging,0
Montenegro,ev charging,0
Montserrat,ev charging,0
Morocco,ev charging,0
Mozambique,ev charging,0
Myanmar (Burma),ev charging,6
Namibia,ev charging,0
Nauru,ev charging,0
Nepal,ev charging,9
Netherlands,ev charging,1
New Caledonia,ev charging,0
New Zealand,ev charging,5
Nicaragua,ev charging,0
Niger,ev charging,0
Nigeria,ev charging,0
Niue,ev charging,0
Norfolk Island,ev charging,0
North Korea,ev charging,0
North Macedonia,ev charging,0
Northern Mariana Islands,ev charging,0
Norway,ev charging,0
Oman,ev charging,3
Pakistan,ev charging,1
Palau,ev charging,0
Palestine,ev charging,3
Panama,ev charging,0
Papua New Guinea,ev charging,0
Paraguay,ev charging,0
Peru,ev charging,0
Philippines,ev charging,3
Pitcairn Islands,ev charging,0
Poland,ev charging,0
Portugal,ev charging,0
Puerto Rico,ev charging,0
Qatar,ev charging,2
Romania,ev charging,0
Russia,ev charging,5
Rwanda,ev charging,3
Réunion,ev charging,0
Samoa,ev charging,0
San Marino,ev charging,0
Saudi Arabia,ev charging,2
Senegal,ev charging,1
Serbia,ev charging,0
Seychelles,ev charging,0
Sierra Leone,ev charging,0
Singapore,ev charging,6
Sint Maarten,ev charging,0
Slovakia,ev charging,0
Slovenia,ev charging,1
Solomon Islands,ev charging,0
Somalia,ev charging,0
South Africa,ev charging,2
South Georgia & South Sandwich Islands,ev charging,0
South Korea,ev charging,7
South Sudan,ev charging,0
Spain,ev charging,0
Sri Lanka,ev charging,3
St. Barthélemy,ev charging,0
St. Helena,ev charging,3
St. Kitts & Nevis,ev charging,0
St. Lucia,ev charging,0
St. Martin,ev charging,0
St. Pierre & Miquelon,ev charging,0
St. Vincent & Grenadines,ev charging,0
Sudan,ev charging,0
Suriname,ev charging,0
Svalbard & Jan Mayen,ev charging,0
Sweden,ev charging,0
Switzerland,ev charging,0
Syria,ev charging,3
São Tomé & Príncipe,ev charging,0
Taiwan,ev charging,1
Tajikistan,ev charging,0
Tanzania,ev charging,0
Thailand,ev charging,2
Timor-Leste,ev charging,0
Togo,ev charging,0
Tokelau,ev charging,0
Tonga,ev charging,0
Trinidad & Tobago,ev charging,3
Tunisia,ev charging,1
Turkmenistan,ev charging,0
Turks & Caicos Islands,ev charging,0
Tuvalu,ev charging,0
Türkiye,ev charging,0
U.S. Outlying Islands,ev charging,0
U.S. Virgin Islands,ev charging,0
Uganda,ev charging,1
Ukraine,ev charging,0
United Arab Emirates,ev charging,2
United Kingdom,ev charging,9
United States,ev charging,2
Uruguay,ev charging,0
Uzbekistan,ev charging,0
Vanuatu,ev charging,0
Vatican City,ev charging,0
Venezuela,ev charging,1
Vietnam,ev charging,3
Wallis & Futuna,ev charging,0
Western Sahara,ev charging,0
Yemen,ev charging,0
Zambia,ev charging,1
Zimbabwe,ev charging,1
Åland Islands,ev charging,10
